// Editado por Zshiryu777
//------------------------------------------------------------------------------
// detail texture map file for de_train level
//------------------------------------------------------------------------------
// cs_bdog.wad
//------------------------------------------------------------------------------
// [texture name]       [detail/texture name]   	       [hscale]	[vscale]

popdog_front_re         detail/cs_bdog/popdog_front_b 		1.0	1.0
popdog_left_b           detail/cs_bdog/popdog_left_b 		1.0	1.0
popdog_left_red         detail/cs_bdog/popdog_left_b 		1.0	1.0
popdog_right_b          detail/cs_bdog/popdog_left_b 		1.0	1.0
popdog_right_re         detail/cs_bdog/popdog_left_b 		1.0	1.0
s_trainyarda		detail/cs_bdog/s_trainyarda		1.0	1.0
s_trainyardb		detail/cs_bdog/s_trainyardb		1.0	1.0
track1			detail/dt_metal1			5.0	5.0
track2			detail/dt_metal1			5.0	5.0
track3			detail/dt_metal1			5.0	5.0
track4			detail/dt_metal1			5.0	5.0
track5			detail/dt_metal1			5.0	5.0
track6			detail/dt_metal1			5.0	5.0
tracks01		detail/cs_bdog/tracks01        		1.0	1.0
tracks02                detail/cs_bdog/tracks01        		1.0	1.0
trainend01		detail/cs_bdog/trainend01		1.0	1.0
trainend02		detail/cs_bdog/trainend02		1.0	1.0
trainside01-1		detail/cs_bdog/trainside01-1		1.0	1.0
trainside01-2		detail/cs_bdog/trainside01-2		1.0	1.0
trainside01-2a		detail/cs_bdog/trainside01-2		1.0	1.0
trainside02-1		detail/cs_bdog/trainside02-1		1.0	1.0
trainside02-2		detail/cs_bdog/trainside02-2		1.0	1.0
trainstopper		detail/cs_bdog/trainstopper 		1.0	1.0
trainstoppertop		detail/cs_bdog/trainstopper 		1.0	1.0
traintop01		detail/cs_bdog/traintop01		1.0	1.0
traintop02		detail/cs_bdog/traintop02		1.0	1.0
wallgrit01		detail/dt_ground1			8.0	8.0
wallgrit02		detail/dt_ground1			8.0	8.0
warehousedoor		detail/cs_bdog/warehousedoor		1.0	1.0
wheelend01		detail/cs_bdog/wheelend01		1.0	1.0
wheelend02		detail/cs_bdog/wheelend01		1.0	1.0
wheelside01		detail/cs_bdog/wheelside01		1.0	1.0
wheelside02		detail/cs_bdog/wheelside01		1.0	1.0
window01                detail/cs_bdog/window01 		1.0	2.0
window01-1              detail/dt_wood1 		        5.0	5.0
window01a               detail/cs_bdog/window01 		1.0	2.0
window03a               detail/dt_wood1 		        5.0	5.0
window03b               detail/dt_wood1 		        5.0	5.0
window03c               detail/dt_wood1 		        5.0	5.0
window04                detail/cs_bdog/window04 		1.0	1.0
window04a               detail/cs_bdog/window04 		1.0	1.0
window05                detail/dt_stone1 		        10.0	10.0
window06                detail/dt_stone1 		        10.0	10.0
window07                detail/dt_stone1 		        10.0	10.0
wood01                  detail/cs_bdog/wood01 		        1.0	1.0
yellowboard		detail/dt_wood1 			2.0	2.0
yellowconrete		detail/dt_wood1         		2.0	2.0

//------------------------------------------------------------------------------
// halflife.wad
//------------------------------------------------------------------------------
// [texture name]       [detail/texture name]   	       [hscale]	[vscale]

{blue                   detail/dt_ground3       		10.0	10.0
{fence3                 detail/halflife/{fence                  1.0	1.0
{invisible              detail/dt_ground3       		10.0	10.0
{ladder1		detail/halflife/{ladder1       		1.0	1.0
{ladder2		detail/halflife/{ladder1       		1.0	1.0
{rail2			detail/halflife/{rail1      		1.0	1.0
~light4a                detail/dt_ground3       		10.0	10.0
+0~drkmtls2c            detail/dt_ground3       		10.0	10.0
+0~fifties_lgt2         detail/dt_ground3       		10.0	10.0
+a~fifties_lgt2         detail/dt_ground3       		10.0	10.0
-0babtech_c5		detail/dt_metal1			2.0	2.0
-1babtech_c5            detail/dt_ground3       		10.0	10.0
-2babtech_c5            detail/dt_ground3       		10.0	10.0
-3babtech_c5            detail/dt_ground3       		10.0	10.0
aaatrigger              detail/dt_ground3       		10.0	10.0
black                   detail/dt_ground3       		10.0	10.0
c1a1c_w2		detail/halflife/c1a1c_w2       		1.0	1.0
clip                    detail/dt_ground3       		10.0	10.0
crete3_flr04		detail/halflife/crete3_flr04       	1.0	1.0
crete3_wall02		detail/halflife/crete3_wall02       	1.0	1.0
duct_break		detail/halflife/duct_break        	1.0	1.0
duct_wall03		detail/halflife/duct_flr01a       	1.0	1.0
emerglight              detail/dt_ground3       		10.0	10.0
generic100a		detail/dt_metal1			2.0	2.0
lab1_stair1b		detail/halflife/lab1_stair1b       	1.0	1.0
metal_bord05		detail/halflife/metal_bord05		1.0	1.0
out_dmp4a		detail/halflife/out_dmp1a       	1.0	1.0
out_dmp4b		detail/halflife/out_dmp1b       	1.0	1.0
out_dmp4c		detail/halflife/out_dmp1c       	1.0	1.0
out_dmplid		detail/halflife/out_dmplid      	1.0	1.0
out_wall3a		detail/halflife/out_wall3a		1.0	1.0
out_wall3b		detail/halflife/out_wall3b		1.0	1.0
out_wall3c		detail/halflife/out_wall3c		1.0	1.0
sky                     detail/dt_ground3       		10.0	10.0
steel			detail/dt_metal1			2.0	2.0
stripes2		detail/halflife/stripes2		1.0	1.0
train_und2		detail/dt_ground3       		10.0	10.0
trk_axle		detail/halflife/trk_axle       		1.0	1.0
trk_bed                 detail/halflife/trk_bed       		1.0	1.0
trk_bumper		detail/halflife/trk_bumper       	1.0	1.0
trk_caback		detail/dt_metal1			2.0	2.0
trk_canvas		detail/halflife/trk_canvas       	1.0	1.0
trk_dash		detail/dt_metal1			2.0	2.0
trk_door		detail/dt_metal1			2.0	2.0
trk_fender		detail/dt_metal1			2.0	2.0
trk_grille		detail/dt_metal1			2.0	2.0
trk_hood		detail/dt_metal1			2.0	2.0
trk_pipe		detail/halflife/trk_pipe       		1.0	1.0
trk_rim			detail/dt_metal1			2.0	2.0
trk_seat		detail/dt_fabric1			2.0	2.0
trk_side		detail/dt_metal1			2.0	2.0
trk_tire		detail/halflife/trk_tire       		1.0	1.0
trk_tread               detail/halflife/trk_tread       	1.0	1.0
