// Editado por Zshiryu777
//------------------------------------------------------------------------------
// detail texture map file for de_nuke level
//------------------------------------------------------------------------------
// cstrike.wad
//------------------------------------------------------------------------------
// [texture name]	[detail texture name]		[hscale]	[vscale]

~light3c                detail/dt_ground3       	5.0     	 5.0
~light5b                detail/dt_ground3       	5.0     	 5.0
+0~fifties_lgt2         detail/dt_ground3       	5.0     	 5.0
+0~lab_crt1             detail/dt_ground3       	5.0     	 5.0
+0~light6a              detail/dt_ground3       	5.0     	 5.0
+1~lab_crt1             detail/dt_ground3       	5.0     	 5.0
+a~fifties_lgt2         detail/dt_ground3       	5.0     	 5.0
+a~light6a              detail/dt_ground3       	5.0     	 5.0
ammo01                  detail/dt_ground3       	5.0     	 5.0
ammo02                  detail/dt_ground3       	5.0     	 5.0
ammo03                  detail/dt_ground3       	5.0     	 5.0
ammo04                  detail/dt_ground3       	5.0     	 5.0
babtech_bordl9          detail/halflife/babtech_bordl9  1.0     	 1.0
babtech_ceil01          detail/dt_ground3       	5.0     	 5.0
bcrate02		detail/halflife/bcrate02	1.0		 1.0
bcrate08		detail/halflife/bcrate02	1.0		 1.0
c1a0_labglu		detail/halflife/c1a0_labglu	1.0		 1.0
c1a0_labw7		detail/halflife/c1a0_labw7	1.0		 1.0
c1a1_bktb               detail/dt_ground3       	5.0     	 5.0
c1a4b_w3b		detail/dt_metal2		10.0		10.0
c1a4_silo2b             detail/halflife/c1a4_silo2b     1.0     	 1.0
c3a1_crate1		detail/halflife/c3a1_crate1	2.0		 1.0
c3a1_crate2		detail/halflife/c3a1_crate2	2.0		 1.0
c3a1_crate3		detail/halflife/c3a1_crate3	1.0		 1.0
c3a2_dr1                detail/halflife/c3a2_dr1       	1.0     	 1.0
c3a2a_w2a		detail/dt_metal2		10.0		10.0
crate02			detail/halflife/bcrate03	1.0		 1.0
crate02b		detail/halflife/bcrate02	1.0		 1.0
crate08			detail/halflife/bcrate14	1.0		 1.0
crate08b		detail/halflife/bcrate14	1.0		 1.0
crate09b		detail/halflife/crate09b	1.0		 1.0
crate10			detail/halflife/crate10		1.0		 1.0
crate12			detail/halflife/crate12		1.0		 1.0
crate13			detail/halflife/crate10		1.0		 1.0
crate23			detail/halflife/crate23 	1.0		 1.0
crate25			detail/halflife/crate25 	1.0		 1.0
crete4_flr01		detail/halflife/crete4_flr01	1.0		 1.0
drkmtlt_bord11          detail/dt_ground3               5.0     	 5.0
drkmtlt_ceil01		detail/halflife/drkmtlt_ceil01	1.0		 1.0
drkmtlt_ceil01b		detail/halflife/drkmtlt_ceil01	1.0		 1.0
duct_flr01a		detail/halflife/duct_flr01a	1.0		 1.0
fifties_cmp1a           detail/halflife/fifties_cmp1a   1.0     	 1.0
fifties_cmp1b           detail/dt_ground3       	5.0     	 5.0
fifties_cmp1c           detail/dt_ground3       	5.0     	 5.0
fifties_cmp3b           detail/dt_ground3       	5.0     	 5.0
fifties_cmp4c           detail/halflife/fifties_cmp4c   1.0     	 1.0
fifties_dr4b            detail/halflife/fifties_dr4b    1.0     	 1.0
flatbed_bumper          detail/dt_ground3       	5.0     	 5.0
flatbed_engine          detail/dt_ground3       	5.0     	 5.0
generic012              detail/dt_ground3       	5.0     	 5.0
generic015p             detail/halflife/generic015n     1.0     	 1.0
generic015q             detail/halflife/generic015q     1.0     	 1.0
generic015r		detail/halflife/generic015r 	1.0		 1.0
generic015v		detail/halflife/generic015v     1.0     	 1.0
generic030		detail/halflife/generic030	1.0		 1.0
generic039		detail/dt_metal2		10.0		10.0
generic100a             detail/dt_ground3       	5.0     	 5.0
generic108a             detail/dt_ground3       	5.0     	 5.0
generic_111c		detail/halflife/generic_111c 	1.0		 1.0
glass_med               detail/dt_ground3       	5.0     	 5.0
lab1_bluxflr1b		detail/halflife/lab1_bluxflr1b 	1.0		 1.0
lab1_brd3d              detail/halflife/lab1_brd3d	1.0		 1.0
lab1_cab2               detail/dt_ground3       	5.0     	 5.0
lab1_stair2a		detail/halflife/lab1_stair2a	1.0		 1.0
lab1_stair2b		detail/halflife/lab1_stair2b	1.0		 1.0
lab1_w8a2               detail/dt_ground3       	5.0     	 5.0
out_pave1		detail/halflife/out_pave1	1.0		 1.0
out_snd1                detail/dt_ground3       	5.0     	 5.0
out_snd2                detail/dt_ground3       	5.0     	 5.0
out_w1a			detail/halflife/out_w1a		1.0		 1.0
out_w1b			detail/halflife/out_w1b		1.0		 1.0
out_w1c			detail/halflife/out_w1c		1.0		 1.0
out_w4			detail/halflife/out_w4 		1.0		 1.0
out_w8dr1		detail/halflife/out_w8dr1	1.0		 1.0
out_wall4b		detail/halflife/out_wall4b	1.0		 1.0
out_wall5		detail/halflife/out_wall5	1.0		 1.0
out_wall6b		detail/halflife/out_wall6b	1.0		 1.0
out_wall6g		detail/halflife/out_wall6g      1.0     	 1.0
out_wall7		detail/halflife/out_wall7	1.0		 1.0
out_wall7a		detail/halflife/out_wall7	1.0		 1.0
out_wall10		detail/halflife/out_wall10	1.0		 1.0
paper2                  detail/dt_ground3       	5.0     	 5.0
paper3                  detail/dt_ground3       	5.0     	 5.0
paper4                  detail/dt_ground3       	5.0     	 5.0
paper5                  detail/dt_ground3       	5.0     	 5.0
paper6                  detail/dt_ground3       	5.0     	 5.0
rocketbottom            detail/dt_ground3       	5.0     	 5.0
rocketmain              detail/halflife/rocketmain      1.0     	 1.0
rocketstage1            detail/halflife/rocketstage1    1.0     	 1.0
sign73b			detail/halflife/sign73b		1.0		 1.0
sign87                  detail/halflife/sign87       	1.0     	 1.0
silo2_cor		detail/halflife/silo2_cor 	1.0		 1.0
silo2_w1		detail/halflife/silo2_w1 	1.0		 1.0
skkylightdim            detail/halflife/skkylite 	1.0		 1.0
skkylite		detail/halflife/skkylite 	1.0		 1.0
skkylite2		detail/halflife/skkylite 	1.0		 1.0
stripes2                detail/halflife/stripes2       	1.0     	 1.0
tnnl_flr4c              detail/halflife/tnnl_flr4c      1.0     	 1.0
tnnl_lgtbrd2            detail/dt_ground3       	5.0     	 5.0
train_und2              detail/dt_ground3       	5.0     	 5.0
trk_bed                 detail/halflife/trk_bed       	1.0     	 1.0
trk_bumper              detail/halflife/trk_bumper      1.0     	 1.0
trk_caback              detail/metal            	5.0     	 5.0
trk_canvas              detail/halflife/trk_canvas      1.0     	 1.0
trk_dash                detail/metal            	5.0     	 5.0
trk_door                detail/metal            	5.0     	 5.0
trk_fender              detail/metal            	5.0     	 5.0
trk_grille              detail/metal            	5.0     	 5.0
trk_hood                detail/metal            	5.0     	 5.0
trk_pipe                detail/halflife/trk_pipe       	1.0     	 1.0
trk_seat                detail/metal            	5.0     	 5.0
trk_shocks              detail/metal            	5.0     	 5.0
trk_side                detail/metal            	5.0     	 5.0
trk_tire                detail/halflife/trk_tire       	1.0     	 1.0
trk_tread               detail/halflife/trk_tread       1.0     	 1.0
xcrate7a                detail/halflife/xcrate7a       	1.0     	 1.0
xcrate7b                detail/halflife/xcrate7b       	1.0     	 1.0
xcrate7c                detail/halflife/xcrate7c       	1.0     	 1.0
