// Editado por Zshiryu777
//------------------------------------------------------------------------------
// detail texture map file for cs_backalley level
//------------------------------------------------------------------------------
// cs_bdog.wad
//------------------------------------------------------------------------------
// [texture name]       [detail/texture name]   	       [hscale]	[vscale]

popdog_front_re         detail/cs_bdog/popdog_front_b 		1.0	1.0
popdog_left_b           detail/cs_bdog/popdog_left_b 		1.0	1.0
popdog_left_red         detail/cs_bdog/popdog_left_b 		1.0	1.0
popdog_right_b          detail/cs_bdog/popdog_left_b 		1.0	1.0
popdog_right_re         detail/cs_bdog/popdog_left_b 		1.0	1.0
s_trainyarda		detail/cs_bdog/s_trainyarda		1.0	1.0
s_trainyardb		detail/cs_bdog/s_trainyardb		1.0	1.0
track1			detail/dt_metal1			5.0	5.0
track2			detail/dt_metal1			5.0	5.0
track3			detail/dt_metal1			5.0	5.0
track4			detail/dt_metal1			5.0	5.0
track5			detail/dt_metal1			5.0	5.0
track6			detail/dt_metal1			5.0	5.0
tracks01		detail/cs_bdog/tracks01        		1.0	1.0
tracks02                detail/cs_bdog/tracks01        		1.0	1.0
trainend01		detail/cs_bdog/trainend01		1.0	1.0
trainend02		detail/cs_bdog/trainend02		1.0	1.0
trainside01-1		detail/cs_bdog/trainside01-1		1.0	1.0
trainside01-2		detail/cs_bdog/trainside01-2		1.0	1.0
trainside01-2a		detail/cs_bdog/trainside01-2		1.0	1.0
trainside02-1		detail/cs_bdog/trainside02-1		1.0	1.0
trainside02-2		detail/cs_bdog/trainside02-2		1.0	1.0
trainstopper		detail/cs_bdog/trainstopper 		1.0	1.0
trainstoppertop		detail/cs_bdog/trainstopper 		1.0	1.0
traintop01		detail/cs_bdog/traintop01		1.0	1.0
traintop02		detail/cs_bdog/traintop02		1.0	1.0
wallgrit01		detail/dt_ground1			8.0	8.0
wallgrit02		detail/dt_ground1			8.0	8.0
warehousedoor		detail/cs_bdog/warehousedoor		1.0	1.0
wheelend01		detail/cs_bdog/wheelend01		1.0	1.0
wheelend02		detail/cs_bdog/wheelend01		1.0	1.0
wheelside01		detail/cs_bdog/wheelside01		1.0	1.0
wheelside02		detail/cs_bdog/wheelside01		1.0	1.0
window01                detail/cs_bdog/window01 		1.0	2.0
window01-1              detail/dt_wood1 		        5.0	5.0
window01a               detail/cs_bdog/window01 		1.0	2.0
window03a               detail/dt_wood1 		        5.0	5.0
window03b               detail/dt_wood1 		        5.0	5.0
window03c               detail/dt_wood1 		        5.0	5.0
window04                detail/cs_bdog/window04 		1.0	1.0
window04a               detail/cs_bdog/window04 		1.0	1.0
window05                detail/dt_stone1 		        10.0	10.0
window06                detail/dt_stone1 		        10.0	10.0
window07                detail/dt_stone1 		        10.0	10.0
wood01                  detail/cs_bdog/wood01 		        1.0	1.0
yellowboard		detail/dt_wood1 			2.0	2.0
yellowconrete		detail/dt_wood1         		2.0	2.0

//------------------------------------------------------------------------------
// halflife.wad
//------------------------------------------------------------------------------
// [texture name]       [detail/texture name]   	       [hscale]	[vscale]

{duct_break1    	detail/halflife/{duct_break1            1.0	1.0
{duct_vnt       	detail/halflife/{duct_vnt       	1.0	1.0
{fence2 		detail/halflife/{fence2       		1.0	1.0
{grate3a        	detail/halflife/{grate3a       		1.0	1.0
{grate4a        	detail/halflife/{grate4a       		1.0	1.0
{ladder1        	detail/halflife/{ladder1       		1.0	1.0
{rustyrungs     	detail/dt_ground3       		10.0	10.0
-0fifties_f02   	detail/halflife/fifties_flr02       	1.0	1.0
-0fifties_f03   	detail/halflife/fifties_flr03       	1.0	1.0
-1fifties_f02   	detail/halflife/fifties_flr02       	1.0	1.0
-1fifties_f03   	detail/halflife/fifties_flr03       	1.0	1.0
-2fifties_f02   	detail/halflife/fifties_flr02       	1.0	1.0
-2fifties_f03   	detail/halflife/fifties_flr03       	1.0	1.0
-3fifties_f02   	detail/halflife/fifties_flr02       	1.0	1.0
bcrate25        	detail/halflife/bcrate25       		1.0	1.0
bcrate26        	detail/halflife/bcrate25       		1.0	1.0
cardbox1        	detail/halflife/cardbox1       		1.0	1.0
cardbox4        	detail/halflife/cardbox4       		1.0	1.0
cardboxbot1     	detail/halflife/cardboxbot1       	1.0	1.0
cardboxtop1     	detail/halflife/cardboxtop1       	1.0	1.0
cardboxtop2     	detail/halflife/cardboxtop2       	1.0	1.0
crete1_wall01   	detail/halflife/crete1_wall01       	1.0	1.0
drkmtlt_bord11  	detail/dt_ssteel1               	10.0	10.0
duct_wall02     	detail/halflife/duct_flr01a       	1.0	1.0
duct_wall03     	detail/halflife/duct_flr01a       	1.0	1.0
fifties_dr3a    	detail/halflife/fifties_dr3             1.0	1.0
fifties_dr5a    	detail/halflife/fifties_dr5             1.0	1.0
fifties_dr9     	detail/dt_metal2                	10.0	10.0
fifties_dsk5a   	detail/dt_smooth1               	10.0	10.0
fifties_stp01   	detail/halflife/fifties_stp01           1.0	1.0
fifties_stp04   	detail/halflife/fifties_stp04           1.0	1.0
generic89a      	detail/halflife/generic89a       	1.0	1.0
generic89b      	detail/halflife/generic89b       	1.0	1.0
generic100a     	detail/dt_smooth1               	10.0	10.0
generic105b     	detail/dt_metal1                	10.0	10.0
generic105c     	detail/dt_metal2                	10.0	10.0
generic113      	detail/dt_smooth1               	10.0	10.0
genlocker       	detail/dt_metal2                	10.0	10.0
out_dmp2a       	detail/halflife/out_dmp1a       	1.0	1.0
out_dmp2b       	detail/halflife/out_dmp1b       	1.0	1.0
out_dmplid      	detail/halflife/out_dmplid       	1.0	1.0
signc1a2_5      	detail/dt_metal2                	10.0	10.0
steel   		detail/dt_ssteel1               	10.0	10.0
trrm_wood       	detail/halflife/trrm_wood       	1.0	1.0
trrm_wood2      	detail/halflife/trrm_wood2       	1.0	1.0
xcrate8 		detail/halflife/xcrate8       		1.0	1.0
xcrate8b        	detail/halflife/xcrate8b       		1.0	1.0
xcrate8c        	detail/halflife/xcrate8c       		1.0	1.0
xcrate10a       	detail/halflife/xcrate10a       	1.0	1.0
xcrate10b       	detail/halflife/xcrate10b       	1.0	1.0
xcrate10c       	detail/halflife/xcrate10c       	1.0	1.0
xcrate10d       	detail/halflife/xcrate10d       	1.0	1.0
